1537447955335,48965,x,y,z
12890,1203,4,1074,541
12910,1206,19,1077,543
12930,1208,8,1077,546
12951,1203,3,1071,548
12971,1220,-3,1089,550
12991,1244,-13,1111,559
13011,1244,-13,1111,559
13031,1239,0,1105,560
13051,1257,-13,1123,564
13071,1272,-17,1139,566
13092,1292,-18,1156,576
13112,1305,-36,1169,578
13132,1286,-9,1148,581
13152,1256,-16,1124,560
13172,1230,-17,1108,534
13192,1218,-13,1097,529
13212,1196,-20,1075,523
13233,1190,-17,1063,534
13253,1183,-28,1055,534
13273,1159,-29,1038,513
13293,1138,-34,1021,500
13313,1115,-22,1004,486
13333,1098,-12,991,472
13353,1082,-24,971,476
13374,1064,-26,952,473
13394,1037,-19,931,456
13414,1019,-25,914,448
13434,999,-42,904,423
13454,973,-17,881,412
13474,950,-18,859,405
13494,931,-29,840,401
13515,922,-13,831,400
13535,902,-23,817,382
13555,903,-29,817,381
13575,897,-33,811,382
13595,890,-25,802,387
13615,862,-21,776,375
13635,846,-27,764,361
13656,839,-16,764,346
13676,814,-12,742,334
13696,800,-17,725,338
13716,785,-26,710,334
13736,773,-31,703,320
13756,788,-23,717,324
13776,789,-23,715,332
13796,789,-23,715,332
13817,798,-2,724,334
13837,811,-20,738,335
13857,835,-9,763,339
13877,867,-1,789,359
13897,912,-20,825,388
13917,936,-5,843,405
13937,955,-11,860,415
13958,968,-22,872,419
13978,961,-19,867,414
13998,961,-19,867,414
14018,969,-10,873,420
14038,969,-10,873,420
14058,976,-2,878,426
14078,960,-9,863,421
14099,952,-4,858,413
14119,941,8,850,402
14139,932,-7,844,396
14159,927,0,838,395
14179,934,6,843,402
14199,938,-1,843,410
14219,931,-6,835,411
14240,927,-6,835,404
14260,932,1,841,400
14280,941,-1,851,402
14300,952,10,858,412
14320,961,11,865,419
14340,969,5,872,422
14360,961,14,865,417
14381,965,-2,870,417
14401,972,0,876,422
14421,966,2,868,423
14441,972,3,872,427
14461,976,5,877,429
14481,979,-2,878,432
14501,980,5,878,435
14522,990,2,891,432
14542,998,6,896,440
14562,1010,7,909,441
14582,1028,13,926,446
14602,1043,5,937,458
14622,1047,11,939,462
14642,1055,10,948,462
14663,1066,-4,961,461
14683,1077,5,968,471
14703,1092,0,980,482
14723,1111,1,994,496
14743,1114,7,998,496
14763,1116,0,1001,493
14783,1120,3,1007,491
14804,1115,-1,1001,490
14824,1115,-1,1001,490
14844,1101,-6,988,485
14864,1093,-11,980,484
14884,1088,-8,977,480
14904,1085,-2,972,482
14924,1085,-7,976,473
14945,1070,-1,963,466
14965,1051,-1,945,459
14985,1029,-7,927,447
15005,1022,-5,921,443
15025,1007,-4,909,433
15045,997,-3,899,429
15065,979,0,882,424
15086,950,-6,856,410
15106,940,-14,851,399
15126,932,-14,846,391
15146,920,-11,832,391
15166,910,-8,822,389
15186,912,-13,824,391
15206,910,-7,826,382
15227,912,-13,829,381
15247,908,-10,823,383
15267,904,-5,820,382
15287,898,-2,814,379
15307,894,-7,813,372
15327,887,-6,807,368
15347,879,-3,800,364
15368,873,-5,795,361
15388,860,-8,783,354
15408,851,-8,776,349
15428,846,-11,772,347
15448,834,-4,758,347
15468,831,-4,757,342
15488,820,-1,749,331
15509,822,-6,752,332
15529,822,-6,752,332
15549,829,0,755,341
15569,830,6,756,342
15589,824,3,751,338
15609,834,3,760,343
15629,841,0,768,343
15650,848,3,770,354
15670,848,3,770,354
15690,839,6,762,351
15710,839,6,762,351
15730,854,1,777,354
15750,859,10,779,360
15770,862,13,779,369
15791,862,13,779,369
15811,866,17,786,364
15831,882,6,800,372
15851,896,9,810,382
15871,906,16,817,391
15891,916,16,824,400
15911,923,13,830,404
15932,929,16,837,402
15952,929,16,837,402
15972,935,14,840,410
15992,935,14,840,410
16012,943,18,846,417
16032,954,13,854,424
16052,952,19,852,424
16093,952,19,852,424
16113,958,23,859,423
16133,974,21,871,436
16153,974,21,871,436
16173,976,26,867,446
16193,976,26,867,446
16213,976,18,874,434
16234,976,18,874,434
16254,980,23,874,442
16274,980,23,874,442
16294,971,20,862,447
16314,965,19,857,442
16334,965,19,857,442
16354,967,10,861,439
16375,954,20,848,435
16395,948,26,840,438
16415,948,26,840,438
16435,952,16,849,431
16455,952,16,849,431
16475,967,16,860,441
16495,960,19,853,439
16516,960,19,853,439
16536,960,8,855,435
16556,962,17,859,432
16576,972,10,866,440
16596,972,10,866,440
16616,980,15,871,449
16636,986,14,880,445
16657,994,9,888,447
16677,1001,10,895,447
16697,1001,10,895,447
16717,1008,9,900,454
16737,1019,7,911,456
16757,1029,14,922,455
16777,1052,2,945,462
16798,1063,7,951,474
16818,1076,3,964,477
16838,1100,-3,984,490
16858,1130,-9,1012,501
16878,1151,-7,1032,509
16898,1173,-7,1051,520
16918,1195,-13,1073,525
16939,1213,-13,1090,533
16959,1211,-14,1090,527
16979,1218,-22,1094,533
16999,1205,0,1082,529
17019,1185,-10,1066,519
17039,1170,-11,1053,508
17059,1147,-13,1035,494
17080,1147,-13,1035,494
17100,1127,-4,1019,481
17120,1117,-11,1008,480
17140,1111,-11,1006,471
17160,1115,-22,1009,473
17180,1092,-16,990,460
17200,1079,-15,979,452
17221,1087,-14,989,452
17241,1097,1,999,454
17261,1115,-7,1011,468
17281,1107,-7,1004,466
17301,1105,-21,1005,459
17321,1126,-28,1026,464
17341,1135,-33,1034,467
17362,1142,-27,1036,479
17382,1146,-22,1035,491
17402,1129,-22,1025,474
17422,1124,-28,1024,464
17442,1130,-39,1030,464
17462,1115,-31,1016,459
17482,1117,-15,1012,471
17503,1103,-25,1002,460
17523,1094,-30,998,448
17543,1079,-21,988,433
17563,1059,-40,966,430
17583,1034,-31,941,426
17603,991,-25,903,408
17623,957,-31,873,392
17644,936,-31,856,378
17664,896,-24,821,357
17684,857,-22,788,336
17704,818,-10,752,319
17724,791,-20,728,306
17744,774,-19,716,293
17764,765,-28,708,289
17785,751,-21,692,292
17805,729,-18,673,279
17825,703,-22,652,262
17845,691,-24,642,252
17865,691,-24,642,252
17885,696,-15,645,261
17905,688,-12,636,260
17926,682,-16,633,254
17946,688,-13,638,257
17966,698,-21,647,259
17986,687,-15,637,256
18006,674,-3,623,255
18026,672,-13,623,252
18046,672,-13,623,252
18067,685,-9,632,263
18087,698,-13,642,273
18107,706,-7,648,280
18127,719,-6,659,287
18147,732,-3,671,293
18167,755,-5,691,302
18187,772,5,705,314
18208,788,7,719,324
18228,813,10,739,338
18248,840,3,763,351
18268,840,3,763,351
18288,858,6,776,366
18308,872,0,786,377
18328,879,11,791,383
18348,891,12,801,390
18369,903,16,811,396
18389,911,22,819,396
18409,923,19,831,399
18429,936,21,841,409
18449,933,27,836,411
18469,933,27,836,411
18489,929,19,832,413
18510,929,19,832,413
18530,936,20,838,416
18550,944,19,843,423
18570,936,28,836,420
18590,935,22,835,419
18610,945,22,844,423
18630,954,27,851,429
18651,966,28,861,438
18671,975,30,866,446
18691,975,30,866,446
18711,983,19,877,443
18731,991,27,882,449
18751,998,28,887,456
18771,1013,29,898,467
18792,1025,31,908,474
18812,1025,31,908,474
18832,1038,18,922,476
18852,1053,18,936,483
18872,1055,27,935,486
18892,1061,25,939,493
18912,1061,25,939,493
18933,1067,25,948,489
18953,1076,20,955,494
18973,1081,26,960,495
19013,1081,26,960,495
19033,1087,16,967,494
19053,1095,14,973,501
19074,1095,14,973,501
19094,1099,19,974,507
19114,1099,19,974,507
19134,1096,15,975,500
19154,1100,18,981,497
19174,1100,18,981,497
19194,1098,10,975,505
19215,1096,14,975,499
19235,1096,14,975,499
19255,1098,4,982,490
19275,1091,8,974,491
19295,1080,10,963,489
19315,1073,14,954,491
19335,1051,2,937,476
19356,1039,8,926,471
19376,1027,0,917,463
19396,1001,3,893,452
19416,991,1,885,444
19436,973,1,871,433
19456,958,0,860,422
19476,941,3,846,411
19497,934,2,839,410
19517,928,3,834,405
19537,928,3,834,405
19557,931,-3,840,402
19577,931,3,838,406
19597,931,3,838,406
19617,932,-7,838,407
19638,943,-6,850,408
19658,933,-7,843,399
19698,933,-7,843,399
19718,929,-11,841,392
19738,947,-9,857,402
19758,958,-10,867,406
19779,971,-8,880,411
19799,982,-4,888,417
19819,991,-10,898,417
19839,1006,-7,912,424
19859,1024,-15,929,432
19879,1034,-10,935,441
19899,1041,-10,940,447
19920,1059,-10,955,457
19960,1059,-10,955,457
19980,1070,-3,968,455
20040,1070,-3,968,455
20061,1073,-5,967,463
20081,1073,-5,967,463
20101,1066,0,964,455
20141,1066,0,964,455
20161,1083,7,978,464
20181,1079,-2,973,466
20202,1071,2,966,463
20222,1071,2,966,463
20242,1084,-4,979,463
20262,1089,5,984,466
20282,1081,6,975,468
20322,1081,6,975,468
20343,1075,-11,972,459
20363,1079,-4,974,463
20383,1065,-1,960,461
20403,1054,5,951,455
20423,1054,5,951,455
20443,1030,4,933,435
20463,1018,0,922,432
20483,1003,1,908,426
20504,998,-7,901,428
20524,982,3,890,416
20544,983,-4,889,419
20564,977,9,885,413
20584,983,2,891,416
20604,983,2,891,416
20624,996,11,904,417
20645,1023,10,927,433
20665,1036,11,940,436
20685,1054,18,955,446
20705,1054,18,955,446
20725,1057,10,958,446
20745,1049,17,952,440
20765,1051,8,955,438
20786,1044,11,948,435
20806,1028,15,934,429
20826,1024,3,932,423
20846,1039,5,945,431
20866,1039,5,945,431
20886,1034,5,937,435
20906,1051,5,951,446
20927,1046,3,952,433
20947,1062,5,966,440
20967,1071,7,971,451
20987,1089,11,984,466
21007,1089,11,984,466
21027,1092,-3,990,461
21047,1117,-10,1011,474
21068,1122,9,1018,471
21088,1153,-3,1042,493
21108,1160,12,1045,502
21128,1143,19,1034,487
21148,1134,-1,1028,479
21168,1151,-4,1044,486
21188,1151,-4,1044,486
21209,1145,11,1034,493
21229,1145,11,1034,493
21249,1117,16,1011,473
21269,1122,-1,1022,463
21289,1122,-1,1022,463
21309,1116,7,1013,468
21329,1103,7,997,471
21350,1066,11,964,455
21370,1071,-9,972,448
21390,1066,0,971,438
21410,1073,0,973,451
21430,1083,7,978,464
21450,1083,7,978,464
21470,1089,15,988,457
21491,1089,0,989,455
21511,1076,4,978,449
21531,1079,14,980,450
21551,1070,13,972,446
21571,1064,5,969,440
21591,1056,16,959,440
21611,1032,33,937,429
21632,1012,13,921,418
21652,987,13,900,404
21672,966,24,885,387
21692,988,2,901,406
21712,1007,-3,914,423
21732,1013,27,919,426
21752,1037,6,942,433
21773,1034,13,942,426
21793,1026,26,940,411
21813,1047,17,960,417
21833,1064,19,971,434
21853,1069,27,974,439
21873,1082,10,982,454
21893,1076,26,978,447
21914,1067,17,976,430
21934,1073,-1,980,436
21954,1074,9,980,439
21974,1069,19,973,443
21994,1072,7,971,454
22014,1070,10,973,444
22034,1072,14,980,435
22055,1093,19,999,441
22075,1093,19,999,441
22095,1085,20,990,443
22135,1085,20,990,443
22155,1071,0,978,436
22175,1066,9,973,435
22196,1066,9,973,435
22216,1058,13,966,429
22236,1050,11,960,425
22256,1031,10,942,418
22276,1003,13,920,399
22296,991,10,909,393
22316,974,8,896,381
22337,960,16,885,372
22357,949,24,873,372
22377,939,14,863,367
22397,921,19,850,354
22417,911,21,842,345
